"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"076",BRA,Brazil,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","141.094"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"084",BLZ,Belize,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","95.507"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"090",SLB,Solomon Islands,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","117.328"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"096",BRN,Brunei Darussalam,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","155.014"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"100",BGR,Bulgaria,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","131.723"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"104",MMR,Myanmar,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","81.877"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"108",BDI,Burundi,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","118.142"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"112",BLR,Belarus,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","126.933"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"116",KHM,Cambodia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","146.631"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"120",CMR,Cameroon,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","106.001"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"124",CAN,Canada,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","120.349"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"132",CPV,Cabo Verde,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","111.165"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"136",CYM,Cayman Islands,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","105.001"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"140",CAF,Central African Republic,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","99.523"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"144",LKA,Sri Lanka,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","128.539"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"148",TCD,Chad,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","66.238"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"152",CHL,Chile,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","155.077"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"156",CHN,China,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","130.086"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"158",CHT,Chinese Taipei,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","132.649"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"170",COL,Colombia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","140.5"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"174",COM,Comoros,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","115.515"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"178",COG,Congo,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","120.628"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"180",COD,Democratic Republic of the Congo,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","144.077"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"184",COK,Cook Islands,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","128.95"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"188",CRI,Costa Rica,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","138.725"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"191",HRV,Croatia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","128.024"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"192",CUB,Cuba,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","123.956"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"196",CYP,Cyprus,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","115.207"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"203",CZE,Czech Republic,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","123.257"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"204",BEN,Benin,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","131.58"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"208",DNK,Denmark,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","124.048"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"212",DMA,Dominica,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","138.559"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"214",DOM,Dominican Republic,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","144.13"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"218",ECU,Ecuador,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","143.36"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"222",SLV,El Salvador,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","147.112"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"226",GNQ,Equatorial Guinea,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","120.635"
