"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"398",KAZ,Kazakhstan,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","134.687"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"400",JOR,Jordan,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","105.761"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"404",KEN,Kenya,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","121.536"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"408",PRK,"Korea, Democratic People's Republic of","000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","10.182"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"410",KOR,"Korea, Republic of","000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","140.915"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"414",KWT,"Kuwait, the State of","000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","107.158"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"417",KGZ,Kyrgyz Republic,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","136.871"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"418",LAO,Lao People's Democratic Republic,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","115.069"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"422",LBN,Lebanese Republic,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","78.998"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"426",LSO,Lesotho,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","105.048"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"428",LVA,Latvia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","165.047"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"430",LBR,Liberia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","64.672"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"434",LBY,Libya,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","99.531"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"440",LTU,Lithuania,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","158.277"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"442",LUX,Luxembourg,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","110.145"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"446",MAC,"Macao, China","000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","181.263"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"450",MDG,Madagascar,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","156.507"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"454",MWI,Malawi,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","132.917"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"458",MYS,Malaysia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","135.238"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"462",MDV,Maldives,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","135.737"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"466",MLI,Mali,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","171.819"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"470",MLT,Malta,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","113.739"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"478",MRT,Mauritania,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","96.049"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"480",MUS,Mauritius,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","107.342"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"484",MEX,Mexico,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","128.913"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"496",MNG,Mongolia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","180.345"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"498",MDA,"Moldova, Republic of","000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","180.009"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"500",MSR,Montserrat,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","94.606"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"504",MAR,Morocco,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","152.32"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"508",MOZ,Mozambique,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","103.441"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"512",OMN,Oman,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","76.147"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"516",NAM,Namibia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","105.841"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"520",NRU,Nauru,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","49.606"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"524",NPL,Nepal,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","279.972"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"528",NLD,Netherlands,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","147.836"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"531",CUW,Curaçao,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","78.676"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"533",ABW,"Aruba, the Netherlands with respect to","000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","79.69"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"534",SXM,Saint Martin,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","94.095"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"540",NCL,New Caledonia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","103.414"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"548",VUT,Vanuatu,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","87.559"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"554",NZL,New Zealand,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","135.314"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"558",NIC,Nicaragua,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","133.742"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"562",NER,Niger,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","135.856"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"566",NGA,Nigeria,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","167.115"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"570",NIU,Niue,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","159.5"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"578",NOR,Norway,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","127.416"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"580",MNP,Northern Mariana Islands,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","47.63"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"583",FSM,"Micronesia, Federated States of","000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","101.662"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"584",MHL,Marshall Islands,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","73.844"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"585",PLW,Palau,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","133.386"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"586",PAK,Pakistan,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","164.221"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"591",PAN,Panama,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","91.119"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"598",PNG,Papua New Guinea,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","118.781"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"600",PRY,Paraguay,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","131.76"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"604",PER,Peru,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","134.044"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"608",PHL,Philippines,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","165.732"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"616",POL,Poland,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","172.208"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"620",PRT,Portugal,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","145.651"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"624",GNB,Guinea-Bissau,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","182.73"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"626",TLS,Timor-Leste,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","150.993"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"634",QAT,Qatar,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","85.546"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"642",ROM,Romania,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","166.454"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"643",RUS,Russian Federation,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","157.46"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"646",RWA,Rwanda,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","121.506"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"659",KNA,Saint Kitts and Nevis,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","73.277"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"662",LCA,Saint Lucia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","135.75"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"666",SPM,Saint Pierre and Miquelon,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","129.258"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"670",VCT,Saint Vincent and the Grenadines,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","94.948"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"678",STP,Sao Tomé and Principe,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","102.928"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"682",SAU,"Saudi Arabia, Kingdom of","000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","88.739"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"686",SEN,Senegal,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","173.995"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"690",SYC,Seychelles,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","111.449"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"694",SLE,Sierra Leone,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","117.047"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"702",SGP,Singapore,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","136.736"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"703",SVK,Slovak Republic,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","142.206"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"704",VNM,Viet Nam,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","200.219"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"705",SVN,Slovenia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","192.888"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"710",ZAF,South Africa,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","108.922"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"716",ZWE,Zimbabwe,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","123.941"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"724",ESP,Spain,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","134.106"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"736",SDN,Sudan,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","95.086"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"740",SUR,Suriname,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","75.269"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"748",SWZ,Eswatini,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","136.731"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"752",SWE,Sweden,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","134.865"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"756",CHE,Switzerland,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","126.076"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"760",SYR,Syrian Arab Republic,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","89.246"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"762",TJK,Tajikistan,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","130.059"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"764",THA,Thailand,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","132.049"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"768",TGO,Togo,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","100.173"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"776",TON,Tonga,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","139.587"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"780",TTO,Trinidad and Tobago,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","62.413"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"784",ARE,United Arab Emirates,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","121.256"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"788",TUN,Tunisia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","111.209"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"792",TUR,Türkiye,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","127.06"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"795",TKM,Turkmenistan,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","59.673"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"798",TUV,Tuvalu,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","113.467"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"800",UGA,Uganda,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,E,Estimate,"","158.193"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"804",UKR,Ukraine,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","193.318"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"807",MKD,North Macedonia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","160.249"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"818",EGY,Egypt,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","104.694"
Merchandise trade - indices and prices,ITS_MTP_AMF,Merchandise import value fixed-base indices - annual,"826",GBR,United Kingdom,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,ID15,"2015=100",2021,"","","","110.221"
